variations,price,rating_star,comment
['Loại 2 -Yến mạch Nga'],[1600000000],5,Giao hàng nhanh chóng. Đóng hói cẩn thận. Bao bì mẫu mã đẹp. Mới mua lần đầu tiên nên sử dụng trước đã. Flash sale nên mua bột trà xanh có 9k à. :))))))))))))))))))))))))))
['Loại 1 - Yến mạch Úc'],[2500000000],5,Chất lượng sản phẩm ổn so với giá tiền áp dụng khuyến mãi nữa nên càng ổn hơn đóng gói sản phẩm cẩn thận chắc chắn. Shipper nhiệt tình và thân thiện. Sẽ ủng hộ hết mình nếu có nhu cầu
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Giao hàng nhanh chóng, chưa dùng qua sản phẩm bột mặt nạ của shop lần nào, hy vọng sẽ phù hợp với mình. Cảm ơn shop. Hình ảnh chỉ mang t/c lấy xu"
['Loại 1 - Yến mạch Úc'],[2500000000],5,Xbzhxjxjdjdisisiduuffh xjsjhdjdissi cbxhđj sueueuejeei euwueueueueu soeueueu nưuehejier ẹhehetree đggg gayhs 
['Loại 2 -Yến mạch Nga'],[1600000000],5,"hàng date xa, chưa dùng nên chưa đánh giá chất lượng! lần sau phải mua nhiều thứ mới thấy ko tiếc ship!"
['Loại 1 - Yến mạch Úc'],[2300000000],5,Bột mịn ik hình... đóng gói sản phẩm chắc chắn... giao đầy đủ hàng.. chưa dùng chưa bít thế nào
['Loại 2 -Yến mạch Nga'],[1600000000],5,Shop giao hàng đầy đủ. Không thiếu món nào. Hiện tại thì mình chỉ chụp dc hai cái thôi
['Loại 1 - Yến mạch Úc'],[2500000000],5,Sử dụng êm lắm ạaaa ❤️❤️ shop giao hàng nhanh và gói cũng kĩ nữa ❤️ tặng shop 1000 saoo
['Loại 1 - Yến mạch Úc'],[2300000000],5,"Nhận hàng mấy bữa rồi nay mới đánh giá để nhận xu, hiha, hàng date xa, giao đúng loại"
['Loại 1 - Yến mạch Úc'],[2500000000],5,Shop đóng gói kỹ. Sản phẩm mới dùng nên k biết hiệu quả ra sao . mong hiệu quả tốt
['Loại 1 - Yến mạch Úc'],[2500000000],5,Giao hàng hơi lâu một chút nhưng chất lương thì okela lắm luôn 
['Loại 2 -Yến mạch Nga'],[1600000000],5,"giao hàng đủ, giao nhanh, bột thơm lắmmmm luôn. đắp xong mặt căng bóng thích ghee"
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Bột mịn, shop đóng gói kĩ ko bị đổ. Giao hàng siêu nhanh. Bột nhìn chung là ổn, mới đắp thử đậu đỏ thấy rất mịn da. Bao bì sạch đẹp. Mình sẽ mua lại khi dùng hết"
['Loại 2 -Yến mạch Nga'],[1600000000],5,Chất lượng sản phẩm tuyệt vời ông mặt giời Giao hàng nhanh chóng 
['Loại 2 -Yến mạch Nga'],[1400000000],5,Giao hàng nhanh. Gói hàng kĩ càng. Hướng dẫn sử dụng rõ ràng. Bột thơm
['Loại 1 - Yến mạch Úc'],[2500000000],5,Chưa sd nên chưa biết chất lượng sản phẩm như nào nhưng mình chung thấy ok 
['Loại 1 - Yến mạch Úc'],[2500000000],5,Chờ shop giao hàng lâu quá trời :(( shop giao hàng đủ. Mình chưa dùng nên chưa thể đánh giá được chất lượng sản phẩm. Trừ việc giao lâu thì mọi thứ đều ổn........
['Loại 2 -Yến mạch Nga'],[1400000000],5,"Giao siêu nhanh luôn á, bột mịn và thơm đắp lên rất đã
Trên bao bì còn có cả hdsd
👍🏻👍🏻👍🏻"
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Giao hàng sớm hơn dự kiến, hàng y hình ko lỗi.
Chất lượng sp thì chưa sd nên chưa biết 😶"
['Loại 1 - Yến mạch Úc'],[2500000000],5,Giao hàng siêu lẹeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
['Loại 1 - Yến mạch Úc'],[2500000000],5,"giao hàng khá nhanh, chưa sử dụng nhưng mình thấy đóng gói okee"
['Loại 2 -Yến mạch Nga'],[1500000000],5,Giao hàng và đóng gói sản phẩm nhanh dùng thử cafe thấy đã gì đâu lần sau sẽ ủng hộ shop nữa
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Giao hàng nhanh, hỗ trợ khách hàng nhiệt tình khi khách hàng chọn nhầm địa chỉ, sản phẩm dùng xong sẽ đánh giá thêm"
['Loại 1 - Yến mạch Úc'],[2100000000],5,Comment chỉ mang tính chất nhận xu .......................
['Loại 1 - Yến mạch Úc'],[2300000000],5,đóng gói đẹp ❤️ rẻ. chưa đắp nên k biết ổn k 🌸🌸🌸🌸🌸🌸🌸🌸😆😆😆🌸🌸🌸😆😆🌸🌸 chổi đắp nạ mềm 
['Loại 2 -Yến mạch Nga'],[1400000000],4,"Đắp vô n nhớt lắm , khó rửa chắc chỉ nên dùng ttbc cho body thui."
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Mình đã nhận hàng, khá nhanh, hạt nhỏ, yến mạch mới ngửi thì ko thơm như mình nghĩ. Chưa đắp nên ko nhận xét ngay đc"
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Sản phẩm tốt , chất lượng , đóng gói sạch sẽ , giao hàng nhanh .."
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Mua lần thứ hai của shop, sản phẩm cực xịn xò, hạt xay mịn dùng rất thích, mình dùng tắm cả body tắm xong da mướt mà ghiền luôn
"
['Loại 1 - Yến mạch Úc'],[2300000000],5,"Bột ok chưa dùng thử nên ko biết ntn, hình ảnh mang tính chất nhận xu "
['Loại 2 -Yến mạch Nga'],[1600000000],5,Ncbcjdjdjdjdjhdjdjdjdjdjdjjdjdjdbdjdndnndndndndndndnndjdjdnfjfndndndnnd
['Loại 2 -Yến mạch Nga'],[1600000000],5,
['Loại 1 - Yến mạch Úc'],[2100000000],5,EyfncvacdhymgmdvaxacsgrjgnfvsvdnfnfnVsbfnfvsvsvsbd
['Loại 2 -Yến mạch Nga'],[1600000000],5,Tắm mịn da lắm
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Ms mua hàng của shop lần đầu. Tgian chuẩn bị hàng nhanh, vvvvvvv"
['Loại 2 -Yến mạch Nga'],[1600000000],5,"Shop giao hàng cực mạnh luôn mới đặt lúc 16h chiều mà 16h30 là thấy shop gửi bên vận chuyển r 
Shop đónh gói cẩn thận giao hàng đầu đủ"
['Loại 1 - Yến mạch Úc'],[2500000000],5,shop giao hàng nhanh... hàng đóng gói đẹp đầy đủ... sẽ ủng hộ shop lần sau 😉😉😉😉😉😉😉😉
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Bột xay mịn, bao bì dễ bảo quản, giao hàng cũng khá nhanh. Nói chung là ổnnnnnn"
['Loại 1 - Yến mạch Úc'],[2500000000],5,Bột đắp thích lắm. Mịn da. Trắng nhẹ sau khi đắp.  Nhưng mà hơi ít.  Kb shop co bán sz lớn hơn k?
['Loại 2 -Yến mạch Nga'],[1600000000],5,Giao hàng nhanh cực kì. Sẽ ủng hộ tiếp tục. Gói hàng kỹ. Sản phẩm chất lượng. Skskiddjdjjđjdjdjjđjjdjdjdjdkdkekekekekekdkđj
['Loại 1 - Yến mạch Úc'],[2300000000],5,Giao hàng nhanh. Đủ hànggggggggggggggggggggggggggggggg
['Loại 2 -Yến mạch Nga'],[1600000000],5,"Bột mịn lắm nha rửa mặt hay tắm gì cũng được 
Thơm nhẹ cung cấp độ ẩm "
['Loại 1 - Yến mạch Úc'],[2500000000],5,Giao hàng nhanh. Đóng gói cẩn thận. 
['Loại 2 -Yến mạch Nga'],[1500000000],5,"Giao tương đối nhanh, ko bk xài dk bao lâu, giá tạm ổn, đóng gói dk"
['Loại 2 -Yến mạch Nga'],[1600000000],5,"VsdnehhajRegqffsgJstjjrgeazftTajrayaaehgkrgegahsjsjdydvxcbgmc
SheRsydksrhfzmksjsrsykysjarhehnsyksjzndnan"
['Loại 1 - Yến mạch Úc'],[2500000000],5,"Giao hàng đủ số lượng, bao bì nhỏ xinh, tiện lợi- 
Ship hàng cực nhanh 
Đặt hàng chiều hôm trước sáng hôm sau đã có hàng.
Sẽ ủng hộ shop dài dài"
['Loại 2 -Yến mạch Nga'],[1600000000],5,"Sản phẩm được shop đóng gói chắc chắn, giao hàng nhanh. Date sử dụng tới 2022."
"['Loại 1 - 100gr', 'Loại 2 - 100gr']","[2500000000, 1600000000]",5,"Sản phẩm tuyệt vời, shop gói hàng rất kỹ ạ, chất lượng tốt ạ đáng tiền mua ạ"
