variations,price,rating_star,comment
['Nước hoa hồng'],[22000000000],5,"Mình nhận được hàng rồi nhé shop 
Sản phẩm rất tốt tốt 
Mua của shop nhiều lần rồi sẽ ủng hộ shop tiếp 
Lần trc dc tặng chun buộc tóc giờ k dc buồn ghê hic"
['Dầu tẩy trang'],[26000000000],5,"Sản phẩm của shop mình ưng ý lắm ạ, sẽ dùng sản phẩm của shop lâu dài và sẽ giới thiệu cho bạn bè nữa ạ 😊"
['Dầu tẩy trang'],[29500000000],5,"Mua hàng của Vi Nê k lo về chất lượng, đóng hàng xịn xò........"
['Nước hoa hồng'],[23400000000],5,Không biết lần này mua là lần thứ bao nhiêu rồi ạ. Dùng suốt từ năm 2018 đến giờ rồi ạ 😊
"['Nước hoa hồng', 'Dầu tẩy trang']","[26000000000, 29500000000]",5,Chất lượng ok giá thành rẻ rất tin tưởng vì từng mua nhiều lần h
['Sữa rửa mặt'],[23000000000],5,"Chất lượng sản phẩm tuyệt vời.
Đónggói sản phẩm tốt.
Giao hàng nhanh"
['Sữa rửa mặt'],[20700000000],5,"Mua hàng của Vi nhiều lần rồi, chưa lần nào làm mình thất vọng 🥰🥰🥰"
['Nước hoa hồng'],[26000000000],5,"chất lượng sản phẩm tuyệt vờiiiii
đóng gói sản phẩm chắc chắn n 
"
['Nước hoa hồng'],[22000000000],5,"Toner mùi rượu gạo, dịu nhẹ, sản phẩm lành tính cho da ❤️❤️❤️❤️❤️"
['Dầu tẩy trang'],[29500000000],5,Bbbbbbbbbbbvvvvbbbbvbbbhhbbhhbbgbbbgggghhhhhbbbbbhggbh
['Dầu tẩy trang'],[26000000000],5,Thấy shopee báo là đã mua 18 lần của shop rồi và chắc là sẽ mua thêm nhiều lần nữa ạ 🤣🤣👍
['Sữa rửa mặt'],[19900000000],5,Shop đáng iu ghê.Chai srm nhỏ nhỏ xinh xinh.Nhưng giao hàg hơi lâu nhé.
"['Nước hoa hồng', 'Sữa rửa mặt']","[22000000000, 19900000000]",5,Okkkkkkkkkkkkkkkkkkkkkkkkdnhdheshhshdjdndudnxbdjwjdbxhdbfbxbdb
['Nước hoa hồng'],[22000000000],5,009626323350962632335096263233596263233509626323350962632335096263233509626323350962632335009626323350962632335096263233596263233509626323350962632335096263233509626323350962632335
['Sữa rửa mặt'],[19900000000],5,"Đã mua lần thứ 2.
sữa rửa mặt thơm nhẹ kiểu tự nhiên.
kem V7 dùng thử hũ mini hợp thì dùng tiếp.<3
"
['Dầu tẩy trang'],[26550000000],3,"Mình từng xài sp này của Muji và hài lòng về khả năng làm sạch của nó. Tuy nhiên gần mình không có nơi nào bán. Có mấy lần mua vòng và kem chống nắng nhà Vi, thấy cũng ổn nên đặt mua hàng nhà Vi tiếp. Lần này các bạn đóng gói không ổn, không có nút chặn vòi làm dầu tẩy trang bị đổ. Thật sự không vui"
['Nước hoa hồng'],[26000000000],5,"chất lượng sản phẩm tuyệt vời 
đóng gói sản phẩm chắc chắn :)))))
"
['Dầu tẩy trang'],[25900000000],5,Mình chưa dùng nhưng shop đóng gói cẩn thận vẫn cho 5 sao
