variations,price,rating_star,comment
['100ML CHINA'],[7900000000],5,Mới dùng nên k bít ntn nhưng khi rửa xong thấy da mặt khá mịn màng 
['100ML CHINA'],[7900000000],5,Hàng giống hình chất lượng thì chưa biết chưa dùng nên chưa biết kết quả
['100ML CHINA'],[7900000000],5,Sản phẩm tốt
['100ML CHINA'],[7900000000],5,Sản phẩm thơm nhiều bọt shop đóng gói cẩn thận giao hành nhanh.
['100ML CHINA'],[7900000000],5,Giống loại những lần trước đã mua nên cũng yên tâm được thêm giá hạt dẻ ạ
['100ML CHINA'],[7900000000],5,"Hành ngonnnnnn 
Chẳ lượng
Đáng muaaaaaaaaaaaaaaaaaaaaaaaaaaaa"
['100ML'],[8900000000],5,Đóng gói cẩn thận và chắc chắn. Giao hàng nhanh. Mong là dùng  hiệu quả.
['100ML'],[8900000000],5,Cũng đchxhxsbsbshwjsbdjudvebdkcjchbdbdjdjchxvbdbdbdbd
['100ML'],[8900000000],5,"Tư vấn nhiệt tình, đóng gói chắc chắn, mỗi tội giao hàng lâu, đợi hơi lâu, chất lượng thì sau khi dùng mới đánh giá tiếp đc "
['150ML'],[14900000000],5,"Chai sửa rửa mặt nguyên vẹn , đóng gói sản phẩm chắc chắn , xài thấy cũng mịn da "
['150ML'],[14900000000],5,"Shop giao hàng siêu nhanh, đóng gói cẩn thận
Hàng chưa dùng nhưng về khâu đóng gói dịch vụ thì rất hài lòng. "
['100ML'],[8900000000],5,"Sữa rửa mặt rẻ và dùng thích. Lên bọt khá nhiều, ko bị khô da. Lần thứ 2 mua rồi. Hài lòng cho shop 5 sao"
['150ML'],[14900000000],5,"Sản phẩm bao bọc kĩ. Đóng ngoài bên ngoài ok luôn
Giao hàng cực nhanh"
['150ML CHINA'],[14900000000],5,Đóng gói san pham rat chac chan . Rua mat rat sạch và thơm luon . 
['100ML CHINA'],[7900000000],5,Nên mua nhé mm
['150ML CHINA'],[14900000000],5,Sản phẩm tốt . giao hàng đúng hẹn
['100ML CHINA'],[7900000000],5,Sp tốt
['100ML'],[8900000000],5,"Shop đóng gói kỹ mình order nhiều lần ở shop rồi, dùng tốt. hàng check đúng barcode sản phẩm. lại nhiệt tình"
['100ML'],[8900000000],5,"Giao hàng nhanh đóng gói chắc chắn
Sữa rửa mặt sạch không khô da, còn tẩy tbc chưa sử dụng nên chưa biết được"
['100ML'],[7500000000],5,"Khá okkk, chọn Nowship giao nhanh mà shop gói khá kỹ 🥰 Mùi khá thơm, dùng không có cảm giác bị fake tí nào 😂 Dùng hơn tuần nay thấy da khá sạch với sửa rữa mặt dạng bọt nên dùng với máy rửa mặt khá thíchhh ❤"
['100ML'],[7500000000],5,"Sữa rửa mặt mùi dễ chịu lắm kiểu thơm nhè nhẹ ấy không nồng nặc đâu , bọt mịn nhẹ nhàng , nhưng rửa vô cùng sạch nha , dùng cũng không bị ngứa hay dì cả với giá 75k như này thì là siêu rẻ rồi nhưng lại chất lượng thì quá thích luôn 🥺💜😍 lần sau nhất định mua tiếp ạ 🥰 "
['150ML'],[13900000000],5,"Lần thứ N mua của shop rồi
Hàng chất lượng
Chủ yếu mua tiếp là vì chị chủ shop dễ thương, tư vấn nhiệt tình, lại còn chiều khách, cứ tặng quà suốt thôi"
['150ML'],[12500000000],5,"Sản phẩm sử dụng rất ổn , đóng gói rất đẹp và chắc chắn, giao hàng lại rất nhanh "
['150ML'],[14900000000],5,"đây là lần thứ n mình đặt của shop, sản phẩm đóng gói rất chắc chắn và đẹp, sản phẩm có mùi thơm nhẹ. "
