variations,price,rating_star,comment
[''],[16300000000],5,"Hàng chuẩn, để tủ lạnh xong lôi ra đắp rất thích. Mình mới sử dụng lần đầu nên lúc đắp có châm chích và nóng mặt nhưng dần dần sẽ hết, mùi tràm trà hơi nồng nhưng rất ok cho da mụn. Sp đc c Võ Hà Linh giới thiệu 😉"
[''],[16300000000],5,"Mình canh đợt flash sale với còn được thêm mã giảm giá nên chỉ gần 300k cho 2 sản phẩm xịn xò này. Đợt dịch kéo dài nên mask nhiều shop bán khá chát nhưng shop có nhiều flash sale nên thích lắm luôn. Combo trị mụn thâm tốt, mua hàng shop nhiều lần nên cực kì yên tâm ạ."
[''],[16300000000],5,"Mặt nạ chính hãng, nguyên seal. Có 8 miếng. Có tem phụ tiếng việt. Hộp bóc ra còn được nsx hướng dẫn cắt thành cái hộp kéo ra kéo vào như kia nữa cơ, hay phết"
[''],[18900000000],5,mới dùng combo của naruko được nửa tháng k biết có hiệu quả hay k nhưng mùi tràm thơm dễ ngửi tất cả sản phẩm khi dùng lên mặt đều mát. shop giao hàng nhanh
[''],[16300000000],5,"Sản phẩm phù hợp cho những bạn sinh viên đi học với hương thơm thoang thoảng mà đằm thắm,  ngọt ngào mà thanh tao. Bạn không nên bỏ lỡ chai nước hoa đặc biệt này, hãy nhanh tay order ngay ạh 
Cao thủ không bằng tranh thủ nha các ty của tui ❤
-------------------------------------
🌺🌻🌾 Nước hoa Mini"
[''],[17900000000],5,"Ảnh không liên quan lắm nhưng mặt nạ dùng thích, đắp xong hôm sau mặt mịn và mụn sẽ đỡ hơn, mk dùng đc 2 năm r thấy ok"
[''],[16300000000],5,"Hộp còn niêm phong đầy đủ
Mình chưa sử dụng lần nào, thấy mọi người review tốt nên mua về dùng thử
Da mình nhạy cảm, dễ nổi mụn nên hi vọng là sẽ hợp.
Mua giá sale 163k/hộp 8 miếng"
[''],[16300000000],5,"[TB] TẶNG 20% GIÁ TRỊ TẤT CẢ THẺ NẠP trong ngày 10/05. Tiền KM sử dụng nội, ngoại mạng đến hết 25/05/2021. Giảm thêm 3% khi nạp thẻ tại https://myvt.page.link/km . Chi tiết gọi 197 bấm phím 19 (0đ). Trân trọng."
[''],[18200000000],5,"Chất lượng của em nó thì chắc ai cũng biết rồi ha, ai da dầu mụn thì hốt liền. Nói chứ em cũng dùng lần đầu, nếu có tác dụng sẽ mua tiếp
"
[''],[18500000000],5,"Hình ảnh mang tính chất minh họa, mask dùng thích cực nha mng"
[''],[16300000000],5,"Mặt nạ xịn 
Dùng nhuêuf lần rùi
Làm giảm mụn đáng kể nha ạ
🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️🙆🏻‍♀️ mụn viêm nhanh xẹp lắm"
[''],[17100000000],5,Săn sale shoppe nên giá tốt. Mình có quét  và nhập mã code dán trên sp nhưng k ra nên kb có phải chính hãng k. Shop Đóng gói cẩn thận. 
