name,variations,price,rating_star,comment
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,huhu lần đầu mua kem mắt chưa đánh giá dc mà thấy mng review cg ổn nên mua dùng thử xong thấy ok sẽ nhận xét lại 
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[23800000000],5,"- giao hàng nhanh, hqua đặt nay có rồi
- hũ kem mắt bé xíu bé gần bằng hũ mask môi của laneign :)) đúng là đắt ghê, để xài thử xem ntn mng khen quá chừng"
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,Sản phẩm tốt đều hơi đắt ttttyghjjvxdhijcdrdchkojxsw cchjkcfhjbb giỏi nhất vvghhjhhhhhggg 
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,"Hộp khá bé so với mình nghĩ. Vỏ hơi dơ tí, gói hàng kỹ, chất lượng sản phẩm thì phải dùng mới biết."
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[23800000000],5,"Sp kem dưỡng mắt không biết sao mình sức lên thấy nóng nóng nhưng đợi một tí thì hết , mùi giống mùi nhân sâm í"
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,"Đã dùng 1 tuần nhưng chưa thấy thay đổi gì. Không biết 1 thời gian nữa có ổn k. Shop tv nhiệt tình, đóng gói tốt, giao hàng nhanh. Đã mua hàng 2 lần "
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,"Mua minisize dùng thử.  Cảm nhận là kem dưỡng ẩm tốt, chất kem thẩm thấu nhanh. Hiệu quả ntn chắc phải dùng lâu dài mới biết được. "
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,Hdjdjsjskskshjwnsssbsjsksbsjsnasbsjjjnbb. C jc k i gg g g. G g g h h u
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,"Ấn tượng đầu tiên là đóng gói hàng rất chắc chắn dù hộp kem mắt siêu nhỏ
Đọc nhìu cmt bán hàng auth, hi vọng là real cmt"
Kem mắt Estee Lauder Advanced Night Repair Eye Supercharged Complex,['3ml fullbox'],[24000000000],5,"hộp bé xíu xinh xinh, giao hàng đóng gói cẩn thận. mới xài lần đầu thích chất kem, nếu hiệu quả sẽ ủng hộ shop thêm nữa. hài lòng về shop nha"
