name,variations,price,rating_star,comment
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Giao hàng nhanh :v đóng gói kỹ :v mã vạch quét ra nha mng :v srm này mình dùng lâu rồi nhưng đây là lần đầu mua ở đây, thấy rất là okila luôn á :3 srm dạng gel nên rất ư là tiết kiệm :3 rửa max sạch nhưng không phải kiểu sạch bong kin kít :3 tuy có hạt nhưng siêu nhỏ luôn ấy :v "
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Đã nhận hàng, check trên icheck thì chưa ra thông tin sản phẩm
Chưa sử dụng nên chưa biết hiệu quả không
Shop đóng gói cẩn thận
Hàng ok"
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Đã dùng nhiều lần. Sản phẩm tốt, mn nên mua, có hạt tẩy da chết rất mịn"
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,ốk hd sự snlalakwns shhx sjsosnsbjzlsnsbabsj x bhdnsbshdhhdjdjsjejw
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,Ảnh và video mang tính nhận xu. Giao hàng nhanh. Mình dùng sữa rửa mặt rất thích. Đã mua đến lọ thứ 2
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,Uuuu
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,đã mua 2 3 lần giá tốt vận chuyển nhanh chất lượng bằng bệnh viện da liễu luôn 
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Chuẩn bị hàng hơi lâu, giao hàng nhanh, sản phẩm còn nguyên tem new nha, giá rẻ hơn thị trường. "
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Sản phẩm sau khi check mã vạch chính hãng, chưa sử dụng chưa biết như thế nào, nếu dùng ok sẽ tiếp tục ủng hộ shop"
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Sản phẩm được đóng gói cẩn thận giao hành nhanh,thái độ của shop nhiệt tình... Chất lượng sản phẩm ok dùng không bị khô da 🥰nói chung là Ok"
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Okkkkkkkkkkkkkkkkkkkk
Đã dùng và mua lại lần 2 ,dùng rất thích "
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,Hình ảnh mang tính chất nhận xử ạ! Giao hàng nhanh chống cẩn thận
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,Qwryopljfsazvnlhdawupjfsvnoracbcshkmvdticsvnn      fdhojgfhh
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"sản phẩm tốt, giá ok, mình rất hài lòng, ship nhanh gói hàng ổn. "
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Sản phẩm dùng rất sạch da, đóng gói hàng cẩn thận,.........."
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,"Đã mua lần thứ 4, srm phù hợp cho da nhờn và mụn. Shop giao hàng cẩn thận, 5 saooooo, dùng hết sẽ ủng hộ"
Sữa rửa mặt Teen derm gel 150ml,[''],[27000000000],5,Mua lần thứ 3 r nèeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
Sữa rửa mặt Teen derm gel 150ml,[''],[27500000000],5,"Sau khi dùng mấy ngày thì mình cảm nhận là srm k kiềm dầu mấy, dùng xong da mướt mát chứ k kin kít một số bạn k quen sẽ nghĩ là k sạch nhưng da sau khi dùng mịn và khá căng bóng, chất kem đặc xịn vl khác hẳn mấy loại 60 70k ncl dùng hết xem thế nào còn h thì khá ok"
