variations,price,rating_star,comment
[''],[1700000000],5,"Kem thơm mà dùng hơi bết rít 😉 hơi khó chịu, mua 2 hủ xài thử dùng tốt mua thêm xài"
[''],[2200000000],5,"Gói hàng cẩn thận. Hộp tem đầy đủ. Mùi kem thơm, kem cũng không bị bết dính. Hi vọng sp tốt "
[''],[1700000000],5,"Hình ảnh chỉ mang tính chất nhận xu. Chờ dùng xong mới có thể đánh giá đuowjc hiệu quả thế nào 🌸🌸🌸🌸
Giao hàng nhanh "
[''],[1600000000],5,"Kem màu trắng+vàng nhạt, thoa lên kiểu ẩm ẩm hơi rít rít nhiều so với loại kem khác nhưng sáng thấy thấm khá tốt. Mình lại thấy thích kem nghệ kia hơn"
[''],[1700000000],5,Đóng gói ổn. Giao hàng đủ số lượng. Chất lượng khi xài mới đánh giá được :v
[''],[2200000000],5,Video và hình ảnh mang tính chất lấy sao ⭐️ nchunh ok nha mng! Mình mua nhiều lần rồi 
[''],[2200000000],5,Bhsjjdbcnxjsksjxbbcbcbcbxjjsjajsbdbbxbdbbfbcbcbbcbcbfb
[''],[1700000000],5,"Giao đủ số lượng
Có dán băng keo để nắp các sản phẩm k bị bung
Các sp dùng chất lượng. Đã mua lại nhiều lần cả mình và mẹ dùng"
[''],[1700000000],5,"Mình đã nhận hàng, hàng chính hãng, mình đã check ra mã vạch, hi vọng xài sẽ hiệu quả."
[''],[1700000000],5,Chưa sử dụng nên chưa biết nhưng cảm quan ban đầu là hàng ok nha mọi người. Hàng đóng gói kỹ. Mở ra thấy thơm.
[''],[1700000000],5,Hàng đầy đủ giao rất nhanh đóng gói cẩn thậnnnnnnnnn nên muaaaaaaa
[''],[1700000000],5,"Mua hàng nhiều lần ở shop rồi shop tra lời tin nhắn nhiệt tình , giao hàng nhanh"
[''],[1700000000],5,"Mình đã nhận được đủ hàng. GHN giao đúng hạn.
Giờ thì dùng và tự kiểm định chất lượng sản phẩm trên cơ thể của mình thôi!"
[''],[1700000000],5,Ủng hộ Hàng việt nam chất lượng. Chưa biết tác dụng về lâu dài. Nhưng giá thành rẻ
[''],[1600000000],5,"Kem sâm date mới, shop đóng gói gọn gàng, hàng chính hãng Thorakao, dùng làm kem lót trang điểm ban ngày. Mn nên mua nha."
[''],[1700000000],5,"Sp đẹp,đóng hàng gọn gàng, giao hàng nhanh, chăm sóc khách tốt"
[''],[1600000000],3,Chưa sử dụng nhưng review tốt và mình có dùng qua một vài sản phẩm của thorakao rồi. Hy vọng hợp dùng lây dài
[''],[1700000000],5,
[''],[1700000000],5,"Shop giao hàng đủ và nhanh lắm nhé mn. Hàng có tem đầy đủ, date xa. Nói chung ổn lắm."
[''],[1700000000],5,"Chất lượng tốt, date xa (năm sx 2021), đóng gói tốt, giao cực kì nhanh"
[''],[1700000000],5,"Đóng gói cẩn thận. Giao đủ hàng, đúng sản phẩm. Chưa sử dụng nên chưa biết thế nào, mua do xem riview tốt."
