variations,price,rating_star,comment
['Bạch ngọc lan-Hộp 10'],[20500000000],5,"(QC-VTL2) Chúc mừng Quý khách đủ điều kiện mở Thẻ tín dụng VIB OnlinePlus, quy trình online, hạn mức đến 50tr, miễn chứng minh thu nhập, phê duyệt trong 15ph, hoàn tiền 6% khi mua sắm. QK đồng ý tham gia vui lòng soạn THE gửi 5566 (miễn phí). Từ chối soạn TC gửi 1313. LH 18008195"
['Trà tràm - Hộp 8M'],[18700000000],5,Giao hàng nhanh lắm nhe quý zị. Đặt hqua hnay có liềnnn
['Trà tràm - Hộp 8M'],[17500000000],5,"Sản phẩm y hình, cũng tạm đc thôi k suất sắc lắm, chắc do mới dùng nên chưa thấy tác dụng nhiều, nhưng thấy mn review là tốt nên sẽ sử dụng hết hộp coi sao đã"
"['Ý dĩ - Hộp 10M', 'Trà tràm - Hộp 8M']","[17500000000, 17500000000]",5,Hàng chất lượng. Đã mua rất nhiều lầnnnm. Sẽ tiếp tục ủng hộ nhaaaaaaaaaaaa
"['Ý dĩ - Hộp 10M', 'Trà tràm - Hộp 8M']","[18500000000, 18700000000]",5,"Lấy hàng rồi mà qên chụp nên up đỡ hình khác.
Đóng gói kĩ, chắc chắn. 
Check ra chính hãng .
Công dụng thì chưa sd nên chưa biết."
['Trà tràm - Hộp 8M'],[18500000000],5,"Giao hàng nhanh cực kì luôn, hôm qua đặt mà hôm nay đã có rồi. Giao đủ số lượng, đóng gói cẩn thận, hàng chuẩn auth luôn, chưa sử dụng nên không biết hiệu quả thế nào nhưng vẫn cho shop 5 sao!!!!"
['Trà tràm - Hộp 8M'],[18500000000],5,"Mua mask ở đây rất nhiều lần . Điều rất ưng , chất lượng khỏi bàn , giao hàng nhanh rẻ hơn khi mua ở shop mỹ phẩm khác "
['Trà tràm - Hộp 8M'],[17500000000],5,"Đã nhận hàng rồi ạ.
Vì hộp kia em xài chưa hết nên chưa check real fake được. Hy vọng hàng real, vỏ bên ngoài cũng giống real"
['Trà tràm - Hộp 8M'],[18700000000],5,"Quá là oke, Mặt nạ naruko tr trà thì xưa giờ khỏi phải bàn cãi về chất lượng òi. Shop giao hàng nhanh khiếp, ông Thất Lục Tổ cũng phải gọi bằng cụ. Cho 5 sao, xài hết lại quay về mua."
['Trà tràm - Hộp 8M'],[17500000000],5,Hibvhvkbcygibucibivvuvuvycubufrxinivycbuvuvuvycobyxibicuvivgobychidgonudhix
['Trà tràm - Hộp 8M'],[17500000000],3,Mùi hơi nồng hơn so với hộp trc mình muaaaaaaaaa !!! Cảm giác có mùi cồnnnnnnnn
['Trà tràm - Hộp 8M'],[17900000000],5,"đóng gói cẩn thận
gio hàng nhanh
sản phẩm ok 
——————————————-"
['Trà tràm - Hộp 8M'],[17500000000],5,Nziqniabziw sínwj qị ấnibsis edbwhwnsibwisbiwbsusbsusbsin
['Trà tràm - Hộp 8M'],[18500000000],5,"Hàng chính hãng, giao hàng đúng với dự kiến. Mua lại lần t2, mặt nạ trị mụn cực kì tốt, dùng hết 1 hộp là thấy hiệu quả rõ ràng liền"
['Ý dĩ mới- Hộp 10M'],[17500000000],5,Đóng gói cẩn thận còn sản phẩm chưa dùng nhưng chắc cũng ok thôi
['Trà tràm - Hộp 8M'],[18500000000],5,"Mẫu mã rất xinh, sản phẩm chính hãng, chất lượng ok, giá hợp túi sv lắm lun, dùng thích lắm ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
['Trà tràm - Hộp 8M'],[17500000000],5,"Shop đóng hàng cẩn thận, giao nhanh. Mình sài lần này thứ 5 rồi, sản phẩm phù hợp với da dầu và dễ lên mụn như da mình. Chúc shop may mắn."
['Trà tràm - Hộp 8M'],[18500000000],5,"hàng đến bao nhanh luôn nha, xịn sò ghẻ kkkkkkkkkkkkkkkkkkkk"
['Trà tràm - Hộp 8M'],[18700000000],5,Hy vọng là dùng có hiệu quả
['Ý dĩ - Hộp 10M'],[17500000000],5,"Hàng đúng mẫu, đủ 10 bịch kèm 1 tờ HDSD tiếng gì đó, trên hộp cũng có in HDSD Tviet
Lần đầu mình mua, shop bán chính hãng nên yên tâm, đóng nhanh lắm, 1 tiếng đã gửi cho shipper"
['Trà tràm - Hộp 8M'],[18700000000],5,"Mới đặt tối qua mà chiều nay đã có ùi. Toẹt zời ạ, shop đóng gói kỹ càng và chất lượng sp của Naruko thì khỏi bàn. Luv ạaaa"
['Trà tràm - Hộp 8M'],[18500000000],5,"Đã mua nhiều lần. Mỗi lần sắp bị, mụn lên thì đây là giải pháp, tối đắp sáng mai là xẹp"
['Trà tràm - Hộp 8M'],[18500000000],5,"Mặt mình là loại da nhạy cảm và rất dễ nổi mụn mà xài loại này ổn hơn hẳn. Da mặt cải thiện và k bị kích ứng nha, naruko thì k chê đc rồiiii "
['Trà tràm - Hộp 8M'],[18500000000],5,"H/a mang tính chất nhận xu
Mặt nạ naruko thì khỏi phải bàn
Njeofibeoosjbtioengbipcwjbyovbiwoprrh"
['Trà tràm - Hộp 8M'],[17500000000],5,"Giao nhanh, gói kĩ rất đẹp, mà khônh biết đây là bản trung hay đài vì e hay dùng bản đài mùi không nặng như lần này"
['Trà tràm - Hộp 8M'],[17500000000],5,"Đóng gói chắc chắn, hi vọng là hàng chính hãng để tiếp tục ủng hộ shop"
['Trà tràm - Hộp 8M'],[17500000000],5,"Clip để lấy xu, nma gói hàng nhìn cũng kĩ càng. Hộp mask có seal với lại tem nhìn khá xịn. Ship hàng khá nhanh. Okayyy"
['Trà tràm - Hộp 8M'],[18500000000],5,"Xài êm....?7(746;67(7)8)78)8;7;6.7;?&@,gxjvjvichxydyfickvjxgxydy"
"['Hoa thuỷ tiên-Hộp 10', 'Ý dĩ - Hộp 10M', 'Trà tràm - Hộp 8M']","[18500000000, 17500000000, 17500000000]",5,&/!.):&&3&2!?:8:!;₫’dmzbxxhiwkwllwlwnsn xhxinendiekebxhj
['Ý dĩ mới- Hộp 10M'],[18500000000],5,Hàng chính hãng nguyên hộp có tem nên yên tâm. Hi vọng dùng thích sẽ ủng hộ shop lâu dài
['Trà tràm - Hộp 8M'],[18500000000],5,
['Trà tràm - Hộp 8M'],[18500000000],5,"Hàng chính hãng, xài ổn, ship nhanh hjhjhjhjhjhjhjhjhjhjhj"
['Ý dĩ - Hộp 10M'],[18500000000],5,Ahagzggsjsjbavgaffacnsnksjsvvsjwoqjsvbwbwwbbsbsbshahwjsbsbsbebbebevvsbbsbababwbwnwjw
['Hoa thuỷ tiên-Hộp 10'],[19500000000],5,"Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk giao nhanh, đúng mẫu"
['Trà tràm - Hộp 8M'],[17500000000],5,"Đóng gói chắc chắn, giao hàng nhanh, bao bọc hàng cẩn thận,phù hợp với giá tiền"
['Trà tràm - Hộp 8M'],[18500000000],5,"Giá cả ok hàng tốt hơi móp méo Giao Hàng Nhanh 
Cảm ơn shop 👍👍👍👍👍"
['Trà tràm - Hộp 8M'],[18500000000],5,"Hàng dùng ok hạn sử dụng dài sẽ ủng hộ tiếp , shop gói kĩ giao hành nhanh"
['Trà tràm - Hộp 8M'],[18500000000],5,"Giao hàng nhanh, sản phẩm ổn. Giao đủ sản phẩm. Đóng gói sản phẩm tốtttt"
['Trà tràm - Hộp 8M'],[18500000000],5,Mua quen của shop nên mua lần nay lần thứ 3 rồi. Giao hành nhanh. Đóng gói ki 5 sao
"['Ý dĩ mới- Hộp 10M', 'Trà tràm - Hộp 8M']","[18500000000, 18500000000]",5,"Đẹp
Nhưng quai hơi rộng
Mình phải đục lỗ khác để cài cho chắc
Msmsmkskslsoososksjsnsndndjododndnd xmkxkxkd.đ..dkd"
['Trà tràm - Hộp 8M'],[18500000000],5,Ok nhé 
['Trà tràm - Hộp 8M'],[18500000000],5,"Gio hàng khá lâu, ko biết xài tốt không, sẽ quay lại đánh giá sau"
['Trà tràm - Hộp 8M'],[17500000000],4,Mình xài hết 1 hộp mua ở shoppee mall giờ mua thêm 1 hộp ở shop này vì thấy giá rẻ hơn và review tốt. so với mall thì Cảm giác xé bịch mask hơi khác. Tinh chất trong bịch ít hơn. Mùi ít thơm hơn và độ the mát ít hơn. Sẽ xài thêm miếng nữa nếu vẫn thấy khác lạ thì mình sẽ quay lại mua ở mall.
