variations,price,rating_star,comment
['#Triple Shield '],[19900000000],5,"Mình đã mua nhiều lần của shop, hàng chính hãng , giao hàng nhanh "
['#Triple Shield '],[19900000000],5,"Mới đây, Ceo Nguyễn Phương Hằng chia sẻ đã gửi tâm thư tới ông xã với nội dung như sau : 

TÂM THƯ GỬI ĐẾN ÔNG XÃ 

ĐỊNH MỆNH

Ông xã thấm thoát đã 15 năm trôi qua, em và Anh đã ở bên nhau với muôn ngàn cảm xúc của cuộc đời dành cho chúng ta. Bởi chúng ta sinh ra là để đi làm điều tốt đẹp cho công c"
['#Long Lasting'],[20500000000],5,Hàng chưa dùng nên cũng k đánh giá được ... giao hàng nhanh phục vụ tốt òn được taqngj kèm dây buộc tóc ^^ nếu tốt sẽ ủng hộ ạ 
['#Long Lasting'],[19500000000],5,"Giao hàng hơi chậm một tí nè nhma ko sao .Đầy đủ sản phẩm. Lần đầu mua shop , mong là sử dụng kem chống nắng ko bị mụn nhoa 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🙋😍😍😍😍"
['#Long Lasting'],[19500000000],5,Hàng mua dịp sale nên giao hơi lâu. Chưa dùng nên hk bik thế nào. Mong là hàng chính hãng. Vì đây là lần đầu mua shop này. Mấy lần trước toàn mua ở store mùa này dịch nên ở nhà đặt online
['#Long Lasting'],[20500000000],5,"Mẹ: “Con xem bé con nhà chị Y nè, đáng yêu chưa? Trời ơi m nhìn m ko thấy sốt ruột lo lắng gì sao con?”
Tôi:"
['#Long Lasting'],[19900000000],5,"Shop giao hàng nhanh
Đóng gói cẩn thận và có tặng dây dột tóc
Chưa sd nên k biết ntn"
['#Triple Shield '],[19900000000],5,"Thời gian giao hàng nhanh
Chất lượng và phục vụ tốt
Rất đáng tiền
Thanks shop"
['#Long Lasting'],[19900000000],5,"Shop đóng gói hàng chắc chắn, nhưng chuẩn bị hàng và giao hàng hơi lâu ạ. "
['#Long Lasting'],[19500000000],5,"Hình ảnh để lấy xu,,,,,,,,,,,,,,sử dụng hiệu quả sẽ ủng hộ shop tiếp ……"
['#Triple Shield '],[19900000000],5,Kem chống nắng dùng lên tone tự nhiên. Nhưng khi dùng mình bị ngứa mặt
['#Triple Shield '],[19900000000],4,Ưdjdj mua cho mẹ chứ hong dùng .mình thích lcn này dâuuuuuuuuusndndnxnxnxbnxnxnxxnxnxnxn
['#Long Lasting'],[19500000000],5,"Shop nhiệt tình, hàng okie. Son chưa thử chưa bít
Hi vọng đẹp. ^^"
['#Triple Shield '],[19900000000],5,"Sản phẩm của shop chất lượng ,shop đóng gói cẩn thận giao hàng nhanh sẽ ủng hộ shop những lần sau"
['#Triple Shield '],[19900000000],5,Okokokojijokokokokokokokokokokokokokokoookoookokokokokokokokokokok
['#Long Lasting'],[19900000000],5,"Shop gói hàng rất kỹ
Giao hàng chớp nhoáng lun
Sản phẩm rất đáng tiền, chính hãng nhoa
Sẽ ủng hộ shop lần sau"
['#Triple Shield '],[20500000000],5,"Đóng gói kĩ càng, check ra mã vạch, dùng thử mới biết được như nào"
['#Long Lasting'],[19900000000],5,Đã nhận đủ hàng. Xài cực thích luôn. Shop còn tặng dây cột tóc mỗi lần mua hàng nữa. Thanks shop. 😘😘
['#Long Lasting'],[19500000000],5,"Tốt.
Hshsvwgwiwjvsgskssbzgshgshsjbsbsbshskansb"
['#Triple Shield '],[19900000000],4,Hàng oke nhưng thời gian chuâbx bị hàng quá lâu. 3 ngày mới đi hàng 
['#Long Lasting'],[19500000000],5,"Giao hàng nhanh, lần đầu tiên đặt shop này sản phẩm chất lượng oke, nhưng ko săn đc mã giảm nhiều "
['#Long Lasting'],[20500000000],5,Sản phẩm thấm nhann nhưng hơi có mùi hương liệu môth chút ....
['#Long Lasting'],[19900000000],5,Pùoydpydpydpufoydpơdpyfpufpuxpufpufpufufufyfydydydoydydoydoydydoydu
['#Long Lasting'],[19500000000],5,sản phẩm oke có mùi thơm giao hàng hơi lâu đóng gói sản phẩm chắc chắn
