variations,price,rating_star,comment
['Mini Size 10ml'],[19900000000],5,"Serum lỏng như nước, thấm khá nhanh, mùi hơi khó chịu 😂 nếu bôi lên vết thương hở sẽ bị xót 1 chút nha. Mới dùng dc 1 ít nên chưa thể đánh giá hết được, nhưng mình có cảm giác serum sẽ có hiệu quả trên da mình. Nên chắc mình sẽ mua lại full size, mỗi tội giá hơi chát 😂"
['Mini Size 10ml'],[19900000000],5,"Zakka cskh rất rất tốt, không có điểm nào chê được. Về sp: nhiều tp thiên nhiên, hiện tại chưa thấy kích ứng gì cả. Chất serum lỏng dễ thấm, dưỡng ẩm tốt, có hỗ trợ đẩy mụn. Nhưng mà giá thành hơi cao, dùng 1 tgian nữa nếu sp đáng với giá thành mình sẽ quay lại. "
['Full Size 30ml'],[55200000000],5,"Sau khi thử sp nước tẩy trang Zakka thì bị kích ứng sau 2 ngày sd, tiếp tục dùng thử dầu tt & serum B3 thì trộm vía da ổn, k bị như lần đầu. Dùng thử 3 ngày sr B3 thì thấy serum lỏng, trong, nhanh thấm (nếu dùng lượng vừa đủ) có mùi thuốc. Nói chung cũng tạm ổn"
['Mini Size 10ml'],[21500000000],5,"Shop tư vấn rất có tâm ,ở xa giao hàng nhanh, Shop bọc hàng kĩ lắm bóc gần chớtttt lunn , thấy chị hà linh rì viu trị thâm tốt nên mua xài thử"
['Mini Size 10ml'],[24500000000],5,Mua của mall nên đảm bảo chất lượng r. Mình dùng 3 tuần thấy thâm mờ đi khá rõ. Tuy kết cấu hơi dính nhưng hiệu quả và giá rất tốt. Ảnh và vid ko liên quan nhé mn hẹe 
['Mini Size 10ml'],[22000000000],5,"Lười đánh giá quá trời luôn, nhưng mà sốp tặng hình dán xinh quá nên lên đánh giá cho sốp, giao hàng nhanh, phục vụ chu đáo"
['Full Size 30ml'],[56600000000],5,"Mua lần đầu qua người chị giới thiệu thấy da chị sáng hơn, sory shop hình ảnh mang tính chất nhận xu, mình lười chụp mong da mình cũng duoc cải thiện"
['Full Size 30ml'],[56600000000],5,"Mua cho anh hai nên chưa khui hộp. Chất lượng khỏi bàn rùi, B3 đã giúp anh mình đẹp trai hơn mỗi ngày mà suốt ngày ổng hết là kêu mua giùm liền :))"
['Mini Size 10ml'],[24500000000],5,"Hình ảnh tuy ko liên quan nhưng giao hàng nhanh ợ.
Serum này mình dùng của Zakka vài chai ùi nói chung là siêu thíchhhh mờ thâm hẳn luôn. 
Mình thấy khá ẩm nhưng ko hẳn bị dính hay khó thấm đâuuuuuu"
['Full Size 30ml'],[53000000000],5,"Giao hàng hơi lâu nhưng không sao. Dùng mờ thâm khá tốt, chất lỏng như nước hợp vs bạn nào da dầu, thấm tốt, mỗi tội xài hao :( "
['Full Size 30ml'],[52900000000],5,mng nên vặn chặt hết cỡ nha hôm trc mình vặn nghe hơi cứng xong di chuyển thì bị đổ hết chai full mới mua tiếv đứt ruột 😭
['Full Size 30ml'],[52900000000],5,"Sản phẩm được đóng gói chắc chắn, giao hàng nhanh chóng. Bạn mình giới thiệu mình dùng từ lúc còn là mẫu mã cũ, đây là chai thứ 2 mình tin dùng và đặt từ hãng. Cảm giác thoa lên mặt không gây nhờn, dính, đặc biệt thấm nhanh vào da. Những vết thâm do mụn cũng được cải thiện rõ rệt, da sáng hơn hẳn. "
['Mini Size 10ml'],[24500000000],5,"Dù đứng ở vị trí nào, chỉ cần có lòng dũng cảm mỗi người đều sẽ trở thành những tấm gương sáng cho người khác noi theo."
['Mini Size 10ml'],[22000000000],5,"sale mà shop giao hàng nhanh phết, serum lỏng lần đầu dùng nên kh biết chất lượng sao thấy mn dùng nhiều khen quá trời"
