variations,price,rating_star,comment
['màu xanh '],[100000000],5,Hình ảnh mang tính chất nhận xu ạ ........#################################################
['màu xanh '],[100000000],5,Sản phẩm đóng gói cẩn thận chưa dùng bên chưa biết chất lượng tn. Mua của shop lần đầu giao hàng nhanh đặt hôm trc hôm sau có hàng luôn mong sẽ hiệu quả để đc ghé shop lân nưa
['màu xanh '],[100000000],5,"Mặt nạ mỏng, không biết có tác dụng dưỡng trắng hay ko nhưng cấp ẩm thì khá ổn. 
Kẹp mi mấy lần cũng k thấy cong dù đã hơ qua lửa :)) , chuốt mi tự nhiên, nhưng mình bị lem hết ra ngoài 🤣. "
"['màu xanh ', 'màu tím ']","[100000000, 530000000]",5,"Đóng gói chắc chắn, giao hàng đúng mẫu, đúng số lượng, chất lượng thì chưa sử dụng nên chưa nhận xét được. Mong là chất lượng sẽ OK. Cám ơn shop!  Mua cùng lượt nên đánh giá giống nhau chứ không phải pr nha mọi người ơi!"
['màu tím '],[530000000],5,"Chất lượng thì chưa dùng chưa biết
Giá rẻ, giao hành nhanh
Đủ hàng"
['màu xanh '],[100000000],5,"Đóng gói chắc chắn, hàng dùng ok, mask quá rẻ, phù hợp với học sinh và sinh viên, hơi thất vọng vì số lượng nhiều nên 1 mask bị rách chảy từa lưa 😒, ks lần đầu mua nên vẫn cho shop 5 ⭐️"
"['màu xanh ', 'màu tím ']","[500000000, 450000000]",5,Mặt nạ rất ok nên mua ạ jsinsisjnsbsdibshsvshebjsjsdbdjjebhdhsehd9shdbdiebsiwbnwjsjdbdbdbdjdskwk
['màu xanh '],[500000000],5,"Bạn đã thực sự yêu cơ thể của mình?

Ăn thì vẫn phải đủ ngày 3 bữa,hoạt động ít hơn,
1 số ace bắt đầu kêu tăng kg rồi đấy 

Để e mách các ace điều này nha❤️"
['màu xanh '],[100000000],5,"Shop giao hàng đủ số lượng, shop tư vấn nhiệt tình, lần sau sẽ tiếp tục ủng hộ shop"
['màu xanh '],[530000000],5,Hình ảnh không liên quan chỉ mang tính chất lấy xu . Chưa sài nên chưa biết ntn
['màu tím '],[530000000],5,Số lượng hàng đầy đủ. Shop rất nhiệt tình. Chưa sử dụng nên chưa biết thế nào nhưng check mã thấy hàng chuẩn mà giá lại hạt rẻ là thấy zui r.
['màu xanh '],[100000000],5,sản phẩm tốt chất lương ổn định............zzzzzzzzzzzzz
['màu xanh '],[100000000],5,"Hang okkk sale rẻ
Dạ bên em cam kết chính hãng Bảo hành 5 năm Hỗ trợ sửa chữa trọn đời Phát hiện fake đền x3 sp ạ
"
['màu xanh '],[100000000],5,Hình ảnh chí mang tính chất nhận xu. Giao hàng nhanh. Chưa dùng nên chưa biết chất lượng. Nhưng check mã vạch đều ra nên thấy khá yên tâm
"['màu xanh ', 'màu tím ']","[100000000, 530000000]",5,(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~(~￣³￣)~
"['màu xanh ', 'màu tím ']","[530000000, 530000000]",5,Sản phẩm giống hình ạ mua lần hai của shop rồi mặt nạ đắp rất ổn ạ lại rẻ nữa phù hợp với mọi lứa tuổi ạ hđhiksnghhhbdbdnkkfccvb
['màu tím '],[530000000],5,"Rất ưng,  đúng  đủ số lượng  và  khá nặng tay  , chưa  dùng nên  chưa biết chất lượng,  nhưng  thiết nghĩ sẽ khá  ok lalalalalalalallalalalaklalllallalalalaal"
['màu xanh '],[100000000],5,"Chưa dùng nên chưa biết chất lượng
sản phẩm như thế nào . Giao hàng nhanh"
['màu xanh '],[100000000],5,Namskmxksmskxmsmzksmsnxmsndksmsndksnxksmzmxmxkdnckdnfdknckfmfksmsksmxkdmdnckemxjmxndkcndjrkekksxmdkmxjđlkckdkfmdmfmfmf
['màu tím '],[530000000],5,"Sản phẩm ổn, chưa dùng thử nên m sẽ đánh giá sau nhé, shop phục vụ chu đáo, shipper thân thiện, giao hàng nhanh"
['màu xanh '],[530000000],5,"Mình đã rất nhiều lần mua hàng của shop và rất ưng ý về chất lượng và giá cả
Sẽ ủng hộ shop những lần sau❤️"
['màu xanh '],[100000000],5,"Hình ảnh chỉ mang tính chất nhận xu, nhưng sản phẩm xài okela lắm ạ, hết sẽ mua tiếp, ủng hộ shop ạ 🥰🥰🥰🥰"
['màu xanh '],[100000000],4,Mặt nạ mình nhận đủ số lượng còn về hiệu quả thì chưa dùng chưa biết. Trong số mặt nạ mình nhận có 1 cái bị lủng và chảy hết ra ngoài không còn gì cả nên hi vọng shop coi hàng cẩn thận trước khi gửi cho khách. 
"['màu xanh ', 'màu tím ']","[500000000, 450000000]",5,Dép bánh mì nữ quai ngang hình gấu cute - Dép lê nữ nhựa đi mưa đi biển đi trong nhà dép yz thời trang mùa hè 2021
['màu xanh '],[100000000],5,"Shop chuẩn bị đồ rất nhanh, đóng gói chắc chắn, cảm giác cầm trên tay thấy sản phẩm rất chất lượng"
['màu xanh '],[100000000],5,"mua 2 lần rồi nên rất hài lòng về shop 😚
giao hàng nhanh mask dùng rất thích 👍
sẽ ủng hộ tiếp ạ ❤"
"['màu xanh ', 'màu tím ']","[100000000, 530000000]",5,"Shop gói hàng cẩn thận, kĩ lưỡng, giao hàng cũng nhanh ❤️🙆🏼‍♀️🙆🏼‍♀️ sẽ ủng hộ shop tiếp ❤️🙆🏼‍♀️"
['màu xanh '],[100000000],5,"Sản phẩm very good
Đã dùng qua 1 lần r, lần này mua thêm
Oh ma ma mi a"
['màu xanh '],[100000000],5,"Mình đã nhận được hàng, shop đóng gói chắc chắn. Hình ảnh chỉ mang tính chất lấy xu"
['màu xanh '],[500000000],5,Quay lại mua hàng shop lần thứ 2 vì giao hàng nhanh. Giá cạnh tranh. Luôn có quà tặng kèm
