variations,price,rating_star,comment
[''],[17900000000],5,"Hả mang tc minh hoạ
Sp tốt 
Chính hãng
Gói hàng chưa kỹ bị móp méo vỏ hộp lúc ship bị nắng  sợ hỏng"
[''],[17900000000],5,"Shop giao nhanh sp chính hãng, hộp hơi móp tí nhưng k sao , được tặng cột tóc cute"
[''],[17900000000],5,sữa rữa mặt thơm mùi bạc hà.sử dụng lần đầu nên chưa bjết ntn.🥰🥰
[''],[17900000000],5,"Giao hàng nhanh cực luôn, đóng gói kĩ lưỡng, srm ok lắm nhaaaa"
[''],[17900000000],5,"Sữa Rửa Mặt Some By Mi AHA-BHA-PHA 30 Days Miracel Acne Clear Foam là một loại gel centella không gây dị ứng, "
[''],[17900000000],5,"Shop đóng gói cẩn thận, giao hàng nhanh, shipper dễ thương :))))"
[''],[17900000000],5,"Mk chưa sử dụng nên k biết co hợp k. Nhưng shop đóng gói hàng cẩn thận ,giao hàng hơi lâu n giá rẻ hơn chỗ mk mua  hihi vẫn cho shop 5🌟"
[''],[17900000000],5,"Hàng auuu ,mua ở cỏ thì ko cần j phải nói nữa rồi lúc nào cũng oke hết áa❤️❤️❤️❤️"
[''],[17900000000],5,Sản phẩm tốt đáng muaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
[''],[17900000000],5,"Chất lượng phải gọi là tuyệt của tuyệt
Mùi bạc hà thơm rửa mặt thích cực kì"
[''],[17900000000],5,"Đóng gói sp rất kĩ càng, tui đã sd qua sp này rồi, rất êm cho da mụn luôn"
[''],[17900000000],5,Giao nhanh hàng tốt tặng cột tóc đóng gói đẹp ủng hộ trong tương lai
[''],[17700000000],5,ok nhoé! shop có tặng cái cột tóc cute
[''],[17900000000],5,"srm rửa rất thích
mùi thơm nhẹ
mát lạnh
giao hàng nhanh
nên mua nha mng 😘😘😘"
[''],[19200000000],5,"Lần đầu tiên mua hàng của shop, nhưng thấy rất okela, đóng gói hàng cẩn thận, nhưng giao hơi lâu:), sẽ ủng hộ shop dài dài..."
[''],[19500000000],5,"Shop đóng gói cẩn thận, giao hàng khá nhanh
Sản phẩm dùng rất thích luôn 😍😍"
[''],[19500000000],5,"Shop nhiệt tình với khách, sẽ quay lại ủng hộ tiếp nè........"
[''],[19500000000],5,"Giao hàng nhanh, đóng gói chắc chắn, được tặng kèm 1 dây chun buộc tóc nhưng tiếc rằng mình là con trai :<<<"
[''],[18700000000],5,"Đồ xịn lắm nha, được tặng thêm cái buộc tóc. BHA AHA của Some by mi xài khá ổn vs da mình"
[''],[18900000000],5,Shop giao hàng nhanh. Đóng gói hàng rất kĩ. Date sử dụng còn xa. Hàng okayyyy
[''],[18900000000],5,"Đầy đủ hàng, son khá mịn, đúng với tên mịn như nhung, xài lâu dài oke sẽ ủng hộ"
[''],[17300000000],5,Okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
[''],[17300000000],5,"Đã mua nhiều lần của shop , chính hãng giao hàng nhanh chóng tks shop "
[''],[17300000000],5,Chưa sử dụng nên chưa biết thế nào !!! Mong là ổn khi sử dụng ....
[''],[17300000000],5,Giao hàng cực nhanh luôn... shop đóng gói rất chắc chắn. tuyệt vời 😊😊
[''],[17300000000],5,"Giao hàng nhanh, đóng gói rất cẩn thận, đủ hàng, sản phẩm còn mới, chất lượng, còn nguyên tem."
[''],[17500000000],5,Hình ảnh chỉ mang tính chất lấy xu. check ra sp. Giao hàng nhanh nữa. Nói chung nên mua👍
[''],[17500000000],5,Sp 9hang ạ sẽ qlai ủng hộ ạ 😂
[''],[17300000000],5,Hàng chất lượng đóng gói cẩn thận shop có cơ sở thật đáng mua.  !!
[''],[17500000000],5,Giao hàng nhanh. Đóng gói hàng kĩ. Date xa. Hàng auth rất okayyyyyy
[''],[17500000000],5,Okeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
[''],[17300000000],5,"Mình lười chụp ảnh quá nên lấy đại hình xl mn 
Cái này xài siêu thích ý, mùi tràm trà thơm dễ chịu 
Tạo bọt khá oki, xài xong da k bị khô căng đâu mà vẫn có 1 độ ẩm nhất định và da mềm mịn thích lắm "
[''],[17500000000],4,"Cảm ơn shop^_^ Nhìn trông đẹp, giá ok, còn đc tặng thêm gói serum rất cute. Tuy nhiên lọ Laneige mk nắp hết cỡ r mà nó k khít vào, cứ bị hở như trong video í:(((("
[''],[17500000000],5,"Sản phẩm của sbm thì rất hợp với da mình rồi nên mua lại, có hộp đầy đủ (mà mình gỡ ra rồi) với shop gói hàng siêu kỹ luôn, nchung mua ở shop nhiều lần rồi và rất ưng"
[''],[17500000000],5,"Sorry hình ảnh không liên quan
Em sửa rửa mặt này mình đã sử dụng đến chai thứ 6 7 gì luôn rồi
Da dầu mụn ổn áp cực kì"
[''],[17500000000],5,Rất là chất lượng 👍🏽👍🏽👍🏽👍🏽
[''],[17500000000],5,"Hìh ảnh k lquan...  Hihi 
Mua shop lần 3,  là biết hàg ntn rồi ạ "
[None],[17500000000],5,Giao hàng nhanh đóng gói sản phẩm chắc chắn đã mua nhiều làm của shop
[None],[17300000000],5,Đóng gói hộp hơi bị méo một chút nhưng ko ảnh hưởng sp lắm. Nhận được thiệp xinh xinh. Sản phẩm hsd xa
[None],[17500000000],5,"Shop chuẩn bị sản phẩm nhanh, sản phẩm có tem chống hàng giả, mình chưa xài nên không để đánh giá đc.
Giao hàng siêu nhanh luôn ạ, đặt chìu t6 mà chìu chủ nhật đã nhận được hàng rồi
Đây là lần t3 mua của shop rồi mà cực kỳ ưng ý ạ.
Sẽ ưbgr hộ shop lần sau ạ."
[None],[17300000000],5,"Sản phẩm có hộp đựng, nguyên seal, đây là chai thứ 2 của mình rồi, da dầu mụn nhạy cảm như mình dùng loại này là tốt nhất luôn"
[None],[17500000000],5,Kskaosmmxmzlalsmzakskxcnjckdnfmcksjejdncxmskksjdnxxnxnxnxnxnxnndxjsks
[None],[17300000000],5,đã mua rất nhiều lần của shop rồi ạ . lúc nào cũng ưng cái bụng lắm 👍
[None],[17500000000],5,Shop đóng gói cẩn thận. Mình có mua lọ serum dưỡng mắt của Ỏdinary nhưng đáng tiếc là k tem tiếng việt như  2 chai Some by mi. Nếu có tem HDSD tiếng việt sẽ tốt hơn
[None],[17500000000],5,Sản phẩm tốt. Shop đóng gói kỹ lưỡng và giao hàng rất nhanh...
[None],[17500000000],5,Bsjsnnxoajandnkxowjennekwkakkdkxns dnjsksnndndkxkckxkmdmdkxh
[None],[17500000000],5,"Sữa rửa mặt dùng rất ok ạ. Đã dùng lần thứ 2 và sẽ dùng tiếp.  
Giao hàng nhanh nữa. "
[None],[17500000000],5,Gshsjjsjsjsjshsndnx. Chxjdjjdjxjxjxncbc c. Ndjsjdjdnbcncnccnnckd c c ndjxnxxjxn
[None],[17300000000],5,"Shop giao hàng nhanh, đóng gói tốt. Date xa 6/2023
Sữa rửa mặt rất hiệu quả. Kết hợp đủ bộ của some by me thì 2,3 ngày là mụn khô còi hoặc biến mất luôn."
[None],[17300000000],5,"Hàng thiệt nha mọi ngừi, check được hidden tag luôn. Khám phá ra shop này zui ghê á ^^"
[None],[17500000000],5,"Hàng y chang hình, shop giao sản phẩm rất nhanh, giao đủ số lượng, gói hàng đẹp nguyên vẹn không móp méo "
[None],[17300000000],5,Đặt hàg lần 2 vì shop uy tín nè....  Giao hàg nhanh chóg........  
[None],[17500000000],5,Chưa sử dụng nên k biết ntn. 5* nha shoppppppppoppppooppopp
[None],[17300000000],5,"Giao hàng lâu, nhma chất lượng tốt




Mua hàng của shop đã lâu , nên tin tưởng ạ


Dhsjsjedjwwitvsbksd f rnowrv rndoevr rndoevr tndwj tg mải tf akiw"
[None],[17500000000],5,"Shop giao hàng nhanh
Chưa sử dụng nên chưa biết chất lượng, mong là sẽ bớt mụn"
[None],[17500000000],5,"Thời gian giao hàng hơi lâu, đóng gói hàng cẩn thận. Hàng chính hãng có tem dán đầy đủ. Shop tặng kèm mặt nạ và phiếu cảm ơn khá dễ thương"
[None],[17500000000],5,Check Hidden code thấy báo ok. Hàng đóng gói chắc chắn và giao rất nhanh
[None],[17500000000],5,"Shop rất có tâm. Tặng kèm thêm cho mình sample của innisfree nữa. Check mã vạch đều ra tên sản phẩm. Đóng gói chắc chắn. Cực kì yêu cách làm việc của shop luôn. Rất đáng tiền, đáng mua. Lần sau sẽ ủng hộ shop thêm"
[None],[17500000000],5,Rất okeeeeeeeeeeeelaaaaaaaaaaaaaasdgshvsvbdbsbsbbsbsbbsb
[None],[17500000000],5,"Some by mi thì khá là nổi tiếng với công hiệu trị mụn rồi 
Srm có mùi bạc hà, khá nhiều bọt, xài khá thích"
[None],[17500000000],5,Trên lượng sản phẩm tuyệt vời tuyệt vời tuyệt vời tuyệt vời đóng gói sản phẩm rất chắc chắn
[None],[17300000000],5,"Chất lượng sản phẩm tốt, có tem phụ, giao hàng rất nhanh aaaaaa"
[None],[17500000000],5,"Thời gian giao hàng nhanh chóng
Chất lượng sản phẩm tuyệt vời"
[None],[17500000000],5,"dạo gần đây some by mi khá nổi nên mình đã mua full bộ srm, toner, serum, kem dưỡng. mình ch xài srm nhưng các sp khác mới 1 tuần đã thấy đỡ ah *da k quá nhìu mụn thấy hiệu quả lẹ hơn"
[None],[17500000000],5,"Giao hàng hơi lâu, shop gói hàng rất kỹ. Srm dùng khá tốt . Okkk"
[None],[17300000000],5,San pham rat tot rat hop voi da minh minh rat thicj se ung ho lan sau 
[None],[17500000000],5,Giao hàng nhanh đóng gói sản phẩm tốt. Rất đáng mua.
