variations,price,rating_star,comment
[''],[9900000000],5,Mk đã mua sản phẩm của shop lần 2.hàng chất lượng. Sẽ ủng hộ shop tiếp. Đóng hàng chắc chắn ổn
[''],[9700000000],5,"Chất lượng tốt và tuyệt vời để mọi nguoefu  nên mua ạMón quà quá nặng kí khiến Minh không chuẩn bị trước tinh thần lẫn sức khoẻ để nhận. Cami quá chơi cú này cô Minh đỡ không kịp.
Con gái dắt tay mẹ đi xin lỗi, chuyện hiếm có nhưng không phải không xảy ra trên đời.
Nâng được thì buông được, hôn Trí,"
[''],[9900000000],5,"Giao hàng khá là nhanh, mới đặt trưa hqua mà giờ đã có hàng r nè, shop khá là cẩn thận đã bọc chống xốp, mùi hương thơm nhè nhẹ mùi trà, mh đã sd sp này trc đó( có người bên nhật gủi về) dùng khá ưng và thích nên đặt thêm of shop."
[''],[9900000000],5,Sản phẩm rất tốt chất lượng tuyệt vời không có gì để chê sẽ mua lại lần 23456779
[''],[9700000000],5,"Shop giao đúng hàng, mà mỗi tội giao hơi lâu, srm này hồi trc sài rất thích nên mua lại 👍👍👍👍"
[''],[10900000000],5,Rất thik dùng loại sữa rửa mặt này lun á 🤗🤗🤗🤗🤗 giao hàng nhanh shop đóng gói kĩ càng👍👍👍👍👍👍
[''],[9900000000],5,"Giống lọ cũ của mình,chất lượng tốt"
[''],[9900000000],5,Aghkkkkkkkhjkkkkjkkkkkkb ghjhjjjwiooooosyjkkksffjooi
[''],[9900000000],5,"Sản phầm oke 
GagagahabahNHjajahsgabahaahjajzjxbcjakKjj"
[''],[8800000000],5,Okkkkkdkeiwksndjwiwjejjsiwkkekdkekwowowkekekek
[''],[9600000000],5,"Sữa rửa mặt dùng thích lắm nha, lại được tặng kẹo nữa, cảm ơn shop nhiều"
[''],[9600000000],5,Đã nhận được hàng. Giao hàng cũng tạm nhanh. Sẽ ủng hộ thêm nếu dùng ok ạ
[''],[10900000000],5,"🍀Sữa rửa mặt trà xanh Shirochasou
🍀Sữa rửa mặt trà xanh Shirochasou của hãng #Rohto - #Japan chiết xuất từ trà xanh nguyên chất nổi tiếng của Nhật Bản giúp làm sạch sâu, se khít lỗ chân lông, ngăn ngừa mụn, giúp da trắng hơn mỗi ngày.
Thời tiết nắng nóng, bạn cố gắng rửa mặt nhiều lần hơn để làn"
[''],[9600000000],5,Chuẩn lắm ạ. Còn chương trình cảm ơn khách hàng siêu dễ thương 
[''],[9800000000],5,Lúc đầu thấy rẻ quá không yên tâm lắm. Nhưng dùng thử thấy khá giống lọ cũ mình mua ở guardian. 
[''],[9900000000],5,"Gói hàng cẩn thận, giao hàng nhanh, chất lượng ổn, shipper thân thiện."
[''],[9900000000],5,"Đóng gói hàng cẩn thận 
Không hôi dễ chịu
Sữa rửa mặt thơm trà xanh nhiều bọt "
[''],[8800000000],5,Giao hàng nhanh như 1 cơn gió. Hàng check được mã vạch. Mùi trà xanh nhẹ nhàng. Hài lònggggggg
[''],[9800000000],5,Giao hành nhanh mk đặt hôm 8/3 thì 10/3 đã có rồi . Thấy mn cmt cũng tốt nên mua thử
[''],[8800000000],5,Sữa rửa mặt dùng khá sạch. Da mình da thường nên không bị khô kin kít. Mùi trà dịu. 
[''],[9900000000],5,Đóng gói chắc chắn. Giá rẻ. Lần đầu tiên mình dùng loại này. Chắc k hợp vs da mình. Lần sau sẽ chọn sp khác. 
[''],[9900000000],5,"Shop giao đủ hàng, nhanhhhhhhhhhhhhhhhhhhhhhhhhhhhghhh"
[''],[9900000000],5,"
"
[''],[9900000000],5,"Sản phẩm tuyệt, đã mua lần thứ 2, xài hết sẽ mua tiếp tục để ưng hộ shop"
[''],[9900000000],5,bánkkd nên d dkendndbdkend dnekdbdbd dksksnnsnsndndndbdbdbdbbd
[''],[9900000000],5,Đã nhận được hàng giao hàng rất nhanh đóng gói rất cẩn thận cảm ơn shop hình ảnh không liên quan
[''],[9900000000],5,Giao hàng nhanh 
[''],[9900000000],5,"Shop giao hàng nhanh. Sửa rửa mặt mùi trà xanh thơm và mát, rửa ko bị nhờn. Rất thích"
[''],[9900000000],5,"Sữa rửa mặt oke ạ, mua lần thứ 2 rồigggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg"
[''],[9000000000],5,Chưa dùng nhưng nhìn là thích r. Giao hàng hơi lâu. Sẽ ủng hộ lần sau. Thanks shoppppppppp
[''],[8800000000],5,"Giao hàng quá lâu, đợi hơn 1 tuần mới có, sản phẩm đóng gói ok. Phàn nàn mỗi cái giao hàng."
[''],[9900000000],5,"Chất lượng sản phẩm tuyệt vời .......    .............,🥰🥰🥰🥰🥰🥰🥰"
[''],[9000000000],5,Mua về trữ kẻo Tết hết là xong. Mua nhiều ở shop rồi nên khá yên tâm vì dùng chất srm giống với tuýp mình được người nhà bên Nhật mua cho
[''],[9900000000],5,"Giao hàng rất nhanh ạ, đặt 1 ngày là có . Sản phẩm rất giống mô tả. Đánh giá 5 sao"
[''],[9000000000],5,"Hàng đẹp, đúng như mẫu, chất lượng đẹp. Giao hàng nhanh. Mọi người nên mua."
[''],[9900000000],5,"shop gói hàng cẩn thận, anh shipper siu cutee mọi thứ đều rất ok "
[''],[9000000000],5,"Giao hàng nhanh, đóng gói cẩn thận, chất lượng rất là tốt ạ ₫-!:"
[''],[9000000000],5,
[''],[9000000000],5,"Chưa sử dụng 
Cbi hàng hơi lâu 
Giao nhanh
Giá ổn................."
[''],[9500000000],5,
[''],[9000000000],5,Đặt hôm trước hôm sau có hàng luônnn❤️❤️❤️❤️❤️💕💕💕💕❤️❤️❤️❤️❤️💕💕💕💕💕💕💕💕💕
[''],[9500000000],5,"Hàng chính hãng chất lượng, bao bì nét đẹp, nguyên tem mác. OK shop nhé. Từ giờ sẽ mua hàng của mỗi shop thôi, chất lượng thì sẽ ủng hộ dài dài. "
[''],[9500000000],5,"Shop giao hàng đúng ngày, bọc hàng cẩn thận, sản phẩm đúng hãng như giới thiệu. Mọi người yên tâm về sản phẩm nhé. Giống y loại trước mình đã từng dùng . Cám ơn shop nhé. Sẽ ủng hộ shop dài dài"
[None],[9450000000],4,"Doctorbees chuyên hàng mật ong xuất Mỹ, Nhật, Doctorbees.vn"
[''],[9500000000],5,Mình test thử ra tay thấy giống với mấy tuýp mình đã dùng rồi nên yên tâm
[None],[9450000000],2,"M dùng loại mày mấy năm nay, đây là lần đầu mua của shop, giá rẻ hơn m mua trc đây,m hơi nghi ngờ về chất lượng,k biết phải hàng giả hay hàng hết hạn,bao bì vs mùi thì giống những lọ trc đây m dùng nhưng srm m lấy ra có những cặn cặn màu trắng chứ k phải khối đồng nhất màu xanh như bt."
[''],[9500000000],5,Chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn 
[''],[9500000000],5,"Hàng ok. Giao hàng nhanh.
Chưa kịp chụp lai hình
Sẽ ủng hộ shop lâu dài. 
"
[None],[9150000000],5,"Giao hàng nhanh, đóng gói kĩ. Tuýp 120g có mùi khá nhẹ nhưng khi dùng thì lại bị nồng, sau khi kiểm tra thấy là hàng thật, chưa check mã vạch nên ko nói đến chuyện mã vạch"
[None],[9450000000],5,"Chưa tìm được smr mới giá ổn và hợp với mình hơn, nên là mình vẫn sử dụng em này. Tuýp này là tuyp thứ 2 mk mua của shop và là tuýp thứ 3 mình dùng. Tuýp đầu là mk có ng nhà bên nhật mang về cho. Sp bên shop dùng ok mình nghĩ là đảm bảo vì dùng giống với tuýp đầu của mình."
[None],[8800000000],5,🙂😚😍🙂😉😏😚😏😚☺😚🤗😚🤗😚🙂😚😚😏😚🤗😚🤗😙🙂😚😏☺😏🤗😚🙂😚🙂😚🙂😚🙂😚🙂😚😲🙃😲🙃☹😕☹🙃😲🙃🤑😲🙃☹🙃😒🤑☹😲😲🙃😲🙃☹🙃☹🙃😲😲🙃😲
[None],[8800000000],5,"Chất lượng sản phẩm tốt, đóng gói sản phẩm đẹp và chắc chắn, shop phục vụ tốt"
[None],[9450000000],5,"Mình da dầu, hơi mụn dùng sữa rửa mặt này rất hợp, mùi trà xanh nhẹ nhàng, rửa sạch, không bị nhờn hay rít. Hàng sale giá phải chăng và giao hàng nhanh chóng"
[None],[9450000000],5,"Giao hàng nhanh, đóng gói sản phẩm cẩn thận, chưa sử dụng nên không biết chất lượng ntnao"
[None],[9450000000],5,Okelaaaaaaaaaaaaaqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
[None],[9150000000],5,Giao hàng cực nhanh .mới đặt hôm qua nay đã nhận dc hàng.sản phẩm y hình nhìn sịn sò ghê.ảnh minh hoạ
[None],[9450000000],5,"Giao hàng nhanh, đóng gói chắc chắn. Chưa sử dụng qua nhưng nhìn có vẻ là hàng thật "
[None],[9450000000],5,Lần đầu mua hàng của shop và chưa sử dụng sản phẩm nên chưa bít thế nào. Hi vọng là hàng chuẩn ah
[None],[9450000000],5,Shop bán hàng thật nha mn.mn nên mua.phân biệt sữa rửa mặt nhật ở nắp chai là rõ nhất nha mn.mn xem video để rõ nha.ai dùng r sẽ biết.k ns nhiều cho shop 5*
[None],[9450000000],5,"Giao hàng khá nhanh, đóng gói sản phẩm cẩn thận, chưa sd nên kbt ntnao"
