itemid,shopid,name,variations,brand,shop_location,view_count,sold,rating_star,rating_count(1* - 5*),price
3439559381,273175762,Sữa Rửa Mặt Tro Núi Lửa Innisfree Giúp Se Khít Lỗ Chân Lông Jeju Volcanic Pore Cleansing Foam 150ml - Vie Beauty,"['Bông Tẩy Trang', 'Bạch Tuột Rửa Mặt', 'Băng Đô']",innisfree,TP. Hồ Chí Minh,6194,222,4.978908188585608,"[0, 1, 3, 8]","[15900000000, 15900000000]"
1520132875,20895938,NƯỚC HOA HỒNG Cosrx AHA / BHA Clarifying Treatment Toner 150ML,"['Fullsize 150ml', 'Dùng thử 30ml', 'Dùng thử 50ml', 'Thử 100ml kèm gốc']",COSRX,Hà Nội,11071,211,4.971875,"[1, 1, 3, 14]","[6900000000, 24900000000]"
3165237682,116335515,Mặt nạ đất sét Innisfree Super Volcanic Pore Clay Mask 2x,[''],innisfree,Hà Nội,7148,206,4.987272727272727,"[0, 0, 0, 7]","[23900000000, 23900000000]"
6026105424,48431454,1KG Ngũ hoa hạt cao cấp loại 1 - Shop làm đẹp thiên nhiên handmade,"['500gr', '1kg']",,TP. Hồ Chí Minh,2258,194,4.9714285714285715,"[0, 1, 1, 25]","[6790000000, 6790000000]"
2535300412,21909977,[Chính Hãng] Tinh Chất Vitamin C Dưỡng Trắng Da Klairs Freshly Juiced 35ml,['SERUM KLAIRS 35ML'],"Dear, Klairs",Hà Nội,8574,186,4.967622080679406,"[3, 5, 3, 31]","[24500000000, 24500000000]"
2841787020,33539570,Kem dưỡng trắng da Dr.Jart+ V7 Toning Light Hàn Quốc,"['15ml', '50ml']",Dr.Jart+,Thừa Thiên Huế,4148,151,4.97148114075437,"[1, 1, 5, 14]","[13500000000, 43000000000]"
1565279562,528912,[Full 400ml] Tẩy Trang La Roche Posay Micellar Water,"['xanh biển', 'trắng date 2023', 'xanh lá', 'trắng vỏ xấu', 'trắng date 6/2022', 'trắng date 10/2022']",No Brand,Hà Nội,3203,106,4.978378378378379,"[0, 1, 2, 9]","[34700000000, 36900000000]"
1649088394,33539570,Kem Ốc Sên Dưỡng Trắng Da Goodal Premium Snail Tone Up 30ml,['30ml'],Goodal,Thừa Thiên Huế,2670,96,4.976136363636364,"[1, 1, 1, 12]","[25000000000, 25000000000]"
806934520,24219300,TẨY TRANG GARNIER 400ml,[''],,Hà Nội,1890,91,4.97137216189536,"[0, 0, 3, 23]","[16500000000, 16500000000]"
124618193,15013645,"BỘT DIẾP CÁ XANH Handmade - Giảm Mụn, Ngừa Viêm","['100gr', '50gr', '200gr']",,TP. Hồ Chí Minh,2635,90,4.980509745127437,"[0, 0, 2, 9]","[2000000000, 5000000000]"
1801355620,115770316,"Mặt nạ ngủ kiềm dầu, kiểm soát mụn Naruko trà tràm Tea Tree Shine Control Blemish Clear Night Gelly 80gr (Bản Đài)",[''],0,TP. Hồ Chí Minh,7020,88,4.9643402954661235,"[1, 3, 8, 41]","[26200000000, 26200000000]"
2307973525,80528748,Gel Giảm Mụn Tràm Trà Vedette 18g,[''],Vedette,TP. Hồ Chí Minh,2352,85,4.98435054773083,"[1, 0, 1, 4]","[3800000000, 3800000000]"
83132107,1924117,Mặt nạ Innisfree Super Volcanic Pore Clay Mask 2x 100ml,[''],innisfree,TP. Hồ Chí Minh,1911,72,4.977218225419664,"[1, 0, 4, 7]","[20900000000, 20900000000]"
95429745,8252086,Serum cấp nước Cosmedica 100% Pure HA Serum,[''],Cosmedica,TP. Hồ Chí Minh,4144,69,4.965174129353234,"[4, 0, 8, 31]","[32900000000, 32900000000]"
2178969413,20102584,Toner Hoa Cúc 40ml Minisize,[''],No Brand,TP. Hồ Chí Minh,3016,68,4.978666666666666,"[1, 0, 1, 10]","[15500000000, 15500000000]"
446978405,9705958,"Giấy thấm dầu Jomi Nhật Bản, Hàng Chuẩn",[''],,Hà Nội,383,68,4.972175379426644,"[4, 2, 2, 7]","[3850000000, 3850000000]"
89858870,12304997,Kem dưỡng trắng da rosie handmade,[''],,TP. Hồ Chí Minh,1424,51,4.971282051282051,"[1, 1, 5, 11]","[13720000000, 13720000000]"
411326214,9337693,Bột Tinh Cám Gạo Sữa Mỹ Phẩm Handmade,"['100gr', '300gr', '500gr']",No Brand,TP. Hồ Chí Minh,647,43,4.983108108108108,"[0, 0, 2, 6]","[900000000, 6000000000]"
1248790630,24219300,MẶT NẠ NGỦ CẤP NƯỚC LANEIGE MINISIZE,[''],No Brand,Hà Nội,994,35,4.9884615384615385,"[0, 0, 2, 2]","[6500000000, 6500000000]"
936534646,14073566,Dầu tẩy trang Kose Softymo Cleansing Oil Deep 230ml,"['Deep', 'white', 'Speedy hồng', 'speedy xanh']",No Brand,Hà Nội,615,30,4.9855072463768115,"[0, 0, 1, 6]","[14500000000, 14500000000]"
2423433085,161294388,Xịt trắng da Maycreat (đọc mô tả),[''],No Brand,TP. Hồ Chí Minh,1241,21,4.978932584269663,"[0, 0, 2, 11]","[3250000000, 3250000000]"
1137598030,9870783,Mặt nạ ngủ tràm trà Naruko,"['Bản Trung', 'Bản Đài']",NARUKO,Hà Nội,946,15,4.993087557603687,"[0, 0, 0, 3]","[15500000000, 25300000000]"
972885785,9870783,Sữa rửa mặt tràm trà Naruko Đài (Tặng 1 miếng tràm trung),['Bản Đài'],,Hà Nội,609,9,4.971504897595726,"[1, 3, 3, 13]","[16700000000, 16700000000]"
1999147842,27551850,Nước hoa hồng Thayers Lavender Facial Toner (355mL),[''],Thayers,TP. Hồ Chí Minh,266,3,4.983050847457627,"[0, 0, 1, 8]","[22000000000, 22000000000]"
5733580436,252404043,Mặt Nạ LANBENA Chiết Xuất Trái Cây Nhật Bản Chăm Sóc Da Mặt,"['Aloe', 'Green Tea', 'Avocado', 'Peach', 'Orange', 'Cherry Blossom']",,Nước ngoài,73599,3390,4.961300309597523,"[4, 6, 15, 61]","[900000000, 900000000]"
5060322058,286096381,Mặt Nạ 🥑𝑭𝒓𝒆𝒆𝒔𝒉𝒊𝒑🥑 Mask Quả Bơ Bioaqua Niacinome Hydrating Shea - Mask Giữ Ẩm Cấp Nước Trắng Da,[''],No Brand,TP. Hồ Chí Minh,11588,3260,4.976007677543186,"[2, 1, 3, 8]","[390000000, 390000000]"
4153857864,184695342,Mặt nạ thạch collagen cấp nước giúp da căng bóng mịn màng mask nội địa trung,"['thạch trong', 'thạch vàng 24k']",Bioaqua,Hà Nội,24999,2322,4.960334029227558,"[4, 1, 9, 20]","[900000000, 900000000]"
1549648258,10208046,Mặt nạ HA Xanh Tím Maycreate,"['Xanh', 'Tím']",,Hà Nội,4857,2483,4.961214782290523,"[6, 5, 13, 41]","[400000000, 400000000]"
2487465125,37251700,"Bộ đôi kem dưỡng giảm mụn, ngừa thâm La Roche Posay Effaclar Duo+ 40ml và Xịt khoáng làm dịu da 50ml",[''],LA ROCHE-POSAY,TP. Hồ Chí Minh,184113,1929,4.952789699570816,"[35, 17, 69, 396]","[39900000000, 39900000000]"
2029330045,8616850,MẶT NẠ MÔI BIOAQUA COLLAGEN NOURISH LIPS MEMBRANE MASK NPP Shoptodo,[''],Bioaqua,TP. Hồ Chí Minh,5593,1863,4.972906403940887,"[2, 4, 4, 5]","[200000000, 200000000]"
1565839325,10208046,Bông tẩy trang Laneila túi 222 miếng BL3,"['Laneila 222 miếng', 'Cotton Pads 222']",No Brand,Hà Nội,14178,1448,4.952772404900064,"[35, 22, 74, 236]","[1990000000, 2300000000]"
531577271,18644537,Kem Rửa Mặt Dưỡng Ẩm Cho Mọi Loại Da Hada Labo Advanced Nourish Cream Cleanser 80g,[''],,TP. Hồ Chí Minh,36711,1234,4.967799642218247,"[2, 5, 7, 20]","[5900000000, 5900000000]"
